,property_name,link,area,address
22,4 Bedroom House for sale in Sector 48 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-48-gurgaon-3240-sq-ft-spid-F69407586,(301 sq.m.) Plot Area,"Sector 48 Gurgaon, Gurgaon, Haryana"
23,4 Bedroom House for sale in Sector 48 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-spid-Q69361158,(301 sq.m.) Plot Area,"Sector 48 Gurgaon, Gurgaon, Haryana"
24,9 Bedroom House for sale in DLF Phase 2,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-2-gurgaon-1935-sq-ft-spid-I67974640,(180 sq.m.) Plot Area,"2/22, DLF Phase 2, Gurgaon, Haryana"
25,5 Bedroom House for sale in Sushant Lok Phase 1,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ansal-sushant-lok-plots-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-P69749546,(251 sq.m.) Plot Area,"C Block, Sushant Lok Phase 1, Gurgaon, Haryana"
26,5 Bedroom House for sale in Sector 4 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-grover-homes-sec-4-sector-4-gurgaon-5067-sq-ft-spid-S69710120,(471 sq.m.) Plot Area,"Sector 4 Gurgaon, Gurgaon, Haryana"
27,9 Bedroom House for sale in Sector 9 Gurgaon,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-sector-9-gurgaon-2610-sq-ft-r2-spid-W66824186,(242 sq.m.) Plot Area,"122001, Sector 9 Gurgaon, Gurgaon, Haryana"
28,9 Bedroom House for sale in Sector 40 Gurgaon,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-2367-sq-ft-spid-C69535484,(220 sq.m.) Plot Area,"7777, Sector 40 Gurgaon, Gurgaon, Haryana"
29,5 Bedroom House for sale in Nirvana Country,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-nirvana-country-gurgaon-3240-sq-ft-spid-J69645548,(301 sq.m.) Plot Area,"Nirvana Country, Gurgaon, Haryana"
30,4 Bedroom House for sale in Sector 67 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ansal-api-esencia-sector-67-gurgaon-2259-sq-ft-spid-J69714706,(210 sq.m.) Plot Area,"C Block Ansal Esencia, Golf Course Ext Road, Sector 67 Gurgaon, Gurgaon, Haryana"
31,5 Bedroom House for sale in DLF Phase 2,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-2-gurgaon-2700-sq-ft-spid-T70164790,(251 sq.m.) Plot Area,"N22, DLF Phase 2, Gurgaon, Haryana"
32,10 Bedroom House for sale in DLF Phase 2,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-2-gurgaon-3159-sq-ft-spid-A70164370,(293 sq.m.) Plot Area,"M15, DLF Phase 2, Gurgaon, Haryana"
33,4 Bedroom House for sale in Hsiidc Plot Sector 1 Imt Manesar,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-gurgaon-900-sq-ft-spid-G68221332,(84 sq.m.) Plot Area,"Hsiidc Plot Sector 1 Imt Manesar, Gurgaon, Haryana"
34,2 Bedroom House for sale in Sector 7 Gurgaon,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-7-gurgaon-1440-sq-ft-spid-B69450498,(134 sq.m.) Plot Area,"Sector 7 Gurgaon, Gurgaon, Haryana"
35,4 Bedroom House for sale in Sushant Lok Phase 3,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-3-gurgaon-1728-sq-ft-spid-P69158988,(161 sq.m.) Plot Area,"074, Sushant Lok Phase 3, Gurgaon, Haryana"
